surface,pieces,age,quartier,etage,garage,jardin,prix
45,2,5,1,0,0,0,120000
85,3,15,2,1,1,0,185000
120,4,3,3,2,1,1,320000
65,2,25,1,0,0,1,145000
95,3,8,2,1,1,0,235000
150,5,1,4,3,1,1,450000
75,3,12,2,1,0,0,165000
110,4,6,3,2,1,0,285000
55,2,20,1,1,0,0,135000
90,3,10,2,0,1,1,215000
140,4,4,4,2,1,1,385000
70,2,18,1,0,0,1,155000
105,4,7,3,1,1,0,275000
60,2,22,1,1,0,0,142000
125,5,2,4,3,1,1,395000
80,3,14,2,1,1,0,195000
100,3,9,3,2,0,1,245000
160,6,1,4,4,1,1,520000
50,1,30,1,0,0,0,95000
115,4,5,3,2,1,1,315000
85,3,16,2,1,1,0,205000
95,3,11,2,0,1,1,225000
130,4,8,3,3,1,0,355000
75,2,19,1,1,0,1,165000
110,4,6,3,1,1,1,295000
65,2,23,1,0,0,0,148000
120,5,3,4,2,1,1,375000
90,3,13,2,1,1,0,215000
140,5,4,4,3,1,1,425000
70,2,21,1,1,0,1,158000
105,4,9,3,2,0,1,265000
55,2,25,1,0,0,0,128000
135,5,2,4,3,1,1,405000
85,3,15,2,1,1,0,198000
115,4,7,3,2,1,1,305000
75,3,17,2,0,1,0,175000
125,4,5,3,3,1,0,345000
95,3,12,2,1,1,1,235000
150,6,1,4,4,1,1,495000
80,2,20,1,1,0,1,168000
