valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude
278000.0,102.0,3.0,1438.0,6.400232,46.925036
343000.0,130.0,5.0,17.0,6.355538,46.916225
112000.0,170.0,4.0,1541.0,6.359275,46.909679
100320.0,100.0,3.0,615.0,6.26089,46.706704
27500.0,50.0,3.0,560.0,6.34371,47.43086
229000.0,73.0,3.0,548.0,6.329654,47.1464
215000.0,148.0,5.0,669.0,5.778185,47.235042
197150.0,193.0,4.0,515.0,5.854172,47.077438
197150.0,20.0,1.0,515.0,5.854172,47.077438
195000.0,17.0,0.0,70.0,6.648328,47.452923
195000.0,27.0,0.0,598.0,6.648056,47.452705
195000.0,180.0,5.0,598.0,6.648056,47.452705
158000.0,90.0,4.0,671.0,6.585113,47.444174
430000.0,134.0,4.0,1082.0,6.086123,47.237485
505000.0,233.0,8.0,507.0,5.78096,47.198428
180000.0,81.0,0.0,102.0,6.028389,47.238209
320000.0,135.0,6.0,576.0,6.054488,47.246369
320000.0,135.0,6.0,425.0,6.054488,47.246369
700000.0,50.0,1.0,825.0,6.001019,47.209919
700000.0,308.0,0.0,825.0,6.001019,47.209919
700000.0,50.0,3.0,825.0,6.001019,47.209919
700000.0,65.0,4.0,825.0,6.001019,47.209919
478000.0,106.0,4.0,1248.0,6.571531,47.15453
478000.0,67.0,4.0,1248.0,6.571531,47.15453
478000.0,51.0,3.0,1248.0,6.571531,47.15453
478000.0,124.0,3.0,1248.0,6.571531,47.15453
178500.0,123.0,5.0,865.0,5.795599,47.179723
459519.0,179.0,7.0,518.0,6.29301,46.746226
265250.0,108.0,5.0,840.0,6.069941,47.230993
315000.0,196.0,7.0,652.0,6.2294,46.739453
232200.0,103.0,4.0,541.0,6.082656,47.279585
120238.18,92.0,4.0,499.0,6.106506,47.158536
344000.0,142.0,4.0,556.0,5.866985,47.308746
344000.0,142.0,4.0,759.0,5.866985,47.308746
230000.0,29.0,0.0,3199.0,6.128637,46.95636
230000.0,220.0,0.0,3199.0,6.128637,46.95636
395000.0,148.0,5.0,270.0,6.353313,46.930712
250000.0,205.0,8.0,1113.0,6.193492,47.081178
220000.0,95.0,5.0,1717.0,6.04986,47.141937
100000.0,83.0,3.0,192.0,6.475057,47.424293
200000.0,133.0,4.0,411.0,6.224699,46.894041
200000.0,73.0,3.0,411.0,6.224699,46.894041
105000.0,77.0,3.0,730.0,5.737694,47.21592
105000.0,75.0,2.0,730.0,5.737694,47.21592
182000.0,88.0,4.0,430.0,6.076998,47.280859
140000.0,80.0,5.0,345.0,6.143254,47.101138
140000.0,80.0,5.0,580.0,6.143254,47.101138
45000.0,96.0,5.0,1040.0,6.327583,47.265908
358000.0,98.0,5.0,642.0,6.371649,46.866963
377500.0,158.0,8.0,1000.0,6.136622,47.1069
377500.0,158.0,8.0,872.0,6.136622,47.1069
406700.0,149.0,5.0,876.0,6.263437,46.735342
250200.0,82.0,3.0,401.0,6.494609,47.151401
300000.0,81.0,5.0,793.0,6.621565,47.055708
18500.0,90.0,5.0,55.0,6.583822,47.448812
260000.0,62.0,3.0,483.0,6.476796,47.04462
260000.0,90.0,3.0,483.0,6.476796,47.04462
260000.0,55.0,2.0,483.0,6.476796,47.04462
287000.0,120.0,6.0,762.0,5.990184,47.187726
49800.0,140.0,5.0,1335.0,6.311735,47.424523
180000.0,68.0,4.0,206.0,6.042823,47.257457
180000.0,68.0,4.0,514.0,6.042823,47.257457
248000.0,129.0,5.0,1655.0,6.199747,47.123952
150000.0,73.0,3.0,128.0,6.153801,47.104425
235000.0,95.0,4.0,750.0,6.661587,47.491493
40000.0,76.0,3.0,539.0,6.129423,47.286732
400000.0,163.0,5.0,649.0,5.966737,47.322774
190000.0,160.0,5.0,413.0,6.541191,47.454392
230000.0,113.0,4.0,802.0,6.064436,47.279584
166500.0,100.0,4.0,836.0,6.224351,47.061449
167000.0,76.0,4.0,613.0,6.133188,47.102529
174000.0,95.0,3.0,1041.0,5.941051,47.336315
196500.0,83.0,5.0,232.0,5.984841,47.273421
273200.0,101.0,4.0,1049.0,6.003084,47.302657
165000.0,150.0,6.0,552.0,5.904188,47.322609
290800.0,179.0,8.0,1204.0,6.117141,47.017085
290800.0,179.0,8.0,1516.0,6.117141,47.017085
232500.0,130.0,4.0,423.0,5.969979,47.185984
338399.0,95.0,4.0,411.0,6.004415,47.255037
168937.03,115.0,0.0,2695.0,6.498613,47.399737
168937.03,665.0,0.0,2695.0,6.498613,47.399737
255000.0,88.0,5.0,653.0,6.16291,46.854656
110000.0,100.0,5.0,500.0,6.602588,47.453001
110000.0,100.0,5.0,739.0,6.602588,47.453001
461437.0,149.0,5.0,1147.0,6.343266,46.770606
20000.0,100.0,4.0,673.0,6.539024,47.181475
195000.0,95.0,4.0,620.0,6.520617,47.216835
195000.0,95.0,4.0,760.0,6.520617,47.216835
425615.0,111.0,6.0,111.0,6.016358,47.240945
170100.0,53.0,3.0,246.0,6.138954,47.103752
93000.0,85.0,4.0,900.0,6.348955,47.473808
195000.0,99.0,4.0,1000.0,6.531117,47.209181
195000.0,99.0,4.0,767.0,6.531117,47.209181
55060.0,136.0,0.0,921.0,6.640356,47.0849
145000.0,29.0,1.0,193.0,6.341957,46.766269
170900.0,90.0,3.0,686.0,6.205178,47.330834
170900.0,112.0,4.0,686.0,6.205178,47.330834
456000.0,240.0,4.0,638.0,6.273289,47.040781
213500.0,116.0,4.0,735.0,6.222438,47.064118
385000.0,120.0,6.0,952.0,5.901846,47.183975
385000.0,60.0,2.0,952.0,5.901846,47.183975
89500.0,100.0,5.0,230.0,6.666327,47.494324
95000.0,50.0,0.0,753.0,6.301457,47.233004
95000.0,145.0,4.0,753.0,6.301457,47.233004
350000.0,1600.0,0.0,2550.0,6.533785,47.044005
151500.0,100.0,6.0,333.0,6.661392,47.523173
291712.5,110.0,4.0,2650.0,5.889767,47.095924
291712.5,238.0,9.0,2650.0,5.889767,47.095924
291712.5,87.0,3.0,2650.0,5.889767,47.095924
166300.0,80.0,4.0,486.0,5.948979,47.167504
166300.0,80.0,4.0,629.0,5.948979,47.167504
214500.0,125.0,6.0,557.0,5.785613,47.039206
214500.0,125.0,6.0,600.0,5.785613,47.039206
142100.0,132.0,5.0,2699.0,5.790169,47.035344
20000.0,70.0,2.0,160.0,6.229601,47.297156
