valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude
133700.0,160.0,5.0,720.0,6.766559,47.472341
274900.0,169.0,6.0,844.0,5.978056,47.317376
401800.0,166.0,8.0,1226.0,6.008198,47.30664
319100.0,174.0,5.0,1216.0,6.803645,47.271869
235000.0,129.0,5.0,900.0,6.544438,47.220571
78000.0,108.0,4.0,286.0,6.784618,47.534644
130000.0,81.0,5.0,566.0,6.844714,47.497991
192000.0,115.0,3.0,1500.0,6.465824,47.306642
164400.0,77.0,3.0,105.0,6.003465,47.207901
202200.0,112.0,5.0,710.0,6.125211,47.102528
27500.0,72.0,3.0,177.0,6.786339,47.412589
230000.0,120.0,4.0,1035.0,6.353451,47.4571
167750.0,80.0,4.0,660.0,5.924373,47.179241
425000.0,36.0,0.0,2748.0,6.772541,47.378082
332000.0,132.0,6.0,500.0,6.053964,47.338353
263870.0,72.0,3.0,546.0,6.629002,47.118912
220704.0,88.0,5.0,813.0,5.941479,47.333474
28000.0,62.0,3.0,136.0,6.847221,47.473392
190000.0,125.0,6.0,630.0,6.789378,47.248982
520000.0,64.0,4.0,364.0,6.599096,47.057291
412350.0,128.0,6.0,500.0,5.964975,47.234819
267000.0,101.0,5.0,4500.0,6.48096,47.05401
274700.0,110.0,0.0,545.0,6.303267,47.025309
452000.0,111.0,0.0,1281.0,5.819527,47.185403
290000.0,143.0,6.0,847.0,5.901671,47.202742
152200.0,67.0,4.0,573.0,5.894241,47.222063
257000.0,76.0,4.0,1144.0,6.638986,47.469258
225000.0,65.0,0.0,672.0,6.790991,47.508718
201050.0,60.0,2.0,987.0,6.74592,47.19781
310000.0,112.0,4.0,1247.0,6.00631,47.250186
408000.0,117.0,5.0,877.0,6.857144,47.413186
340000.0,140.0,6.0,901.0,6.140031,46.675301
198150.0,70.0,3.0,580.0,6.815627,47.218785
160000.0,67.0,3.0,634.0,6.662599,47.265061
258000.0,100.0,5.0,616.0,5.912576,47.271997
170000.0,89.0,4.0,500.0,6.159454,47.200243
305500.0,157.0,6.0,2337.0,5.741265,47.229564
140000.0,112.0,4.0,1105.0,6.627949,47.119941
405000.0,26.0,1.0,1293.0,6.861782,47.460406
417820.0,153.0,7.0,574.0,6.732896,47.16108
166850.0,45.0,2.0,1115.0,6.784706,47.439272
85000.0,81.0,5.0,697.0,6.807405,47.535765
273000.0,53.0,2.0,577.0,6.82999,47.443623
114000.0,326.0,11.0,652.0,6.261548,47.396731
488900.0,110.0,5.0,1010.0,6.601549,47.032645
161000.0,104.0,4.0,330.0,6.048567,47.267124
120000.0,150.0,5.0,942.0,6.287581,46.95056
196850.0,115.0,7.0,1194.0,6.148634,46.686704
173000.0,70.0,3.0,1001.0,6.118088,47.017284
242250.0,115.0,4.0,917.0,6.65439,47.262103
272050.0,89.0,4.0,210.0,6.237418,47.330372
128000.0,100.0,4.0,573.0,6.448548,47.499708
343800.0,115.0,6.0,800.0,6.065666,47.228317
298100.0,60.0,3.0,702.0,6.193843,46.712918
110000.0,137.0,5.0,130.0,6.357916,47.47902
132000.0,115.0,3.0,500.0,6.766345,47.399297
505760.0,56.0,1.0,346.0,6.035994,47.247709
372000.0,152.0,5.0,1089.0,6.27352,46.966181
193800.0,88.0,5.0,603.0,6.840465,47.531717
110000.0,90.0,3.0,352.0,6.920609,47.429286
293000.0,159.0,7.0,760.0,6.018754,47.264644
70000.0,121.0,5.0,1050.0,6.491264,47.353317
400000.0,93.0,3.0,3819.0,6.839823,47.201999
382710.0,100.0,4.0,829.0,6.017329,47.220293
184000.0,149.0,7.0,415.0,6.929596,47.513419
242000.0,80.0,3.0,702.0,6.006021,47.248036
950000.0,65.0,3.0,328.0,6.356074,46.775027
1200000.0,90.0,4.0,133.0,6.026353,47.239387
112400.0,80.0,4.0,226.0,6.848762,47.539368
403230.0,23.0,0.0,1244.0,6.084918,47.234445
150000.0,19.0,1.0,444.0,6.352591,46.910259
175000.0,98.0,5.0,920.0,5.902833,47.289558
90000.0,42.0,2.0,831.0,6.090178,47.268633
140000.0,305.0,9.0,2400.0,6.226873,47.110017
325000.0,114.0,4.0,982.0,6.540339,47.214859
1061667.0,9.0,1.0,932.0,6.828363,47.514241
144000.0,55.0,2.0,475.0,6.858222,47.482734
240000.0,108.0,5.0,572.0,6.008434,47.232709
281500.0,95.0,4.0,1002.0,6.126289,47.287483
132000.0,80.0,3.0,546.0,6.843177,47.539411
186000.0,94.0,4.0,637.0,5.946786,47.125711
150000.0,300.0,0.0,1610.0,5.99905,47.289078
458000.0,146.0,5.0,904.0,5.977162,47.268
292700.0,100.0,4.0,616.0,5.893867,47.227693
61000.0,138.0,5.0,720.0,6.413706,47.450011
141900.0,80.0,3.0,1000.0,6.468766,47.422972
243000.0,66.0,3.0,599.0,5.976651,47.239543
168630.0,96.0,5.0,890.0,6.554438,47.327234
372000.0,152.0,5.0,1089.0,6.27352,46.966181
315000.0,43.0,2.0,717.0,6.819144,47.215764
750000.0,1039.0,0.0,1588.0,6.306866,46.754202
297500.0,172.0,7.0,1040.0,6.902284,47.467012
255000.0,160.0,6.0,803.0,5.940781,47.214912
348000.0,90.0,3.0,297.0,6.387906,46.767176
133400.0,108.0,6.0,630.0,6.863247,47.472903
253000.0,97.0,4.0,948.0,6.226759,47.002298
355000.0,117.0,4.0,427.0,6.672666,47.067034
167750.0,80.0,4.0,660.0,5.924373,47.179241
165000.0,111.0,5.0,1062.0,6.400942,47.372024
306335.0,104.0,5.0,1116.0,6.773805,47.209727
560000.0,22.0,1.0,473.0,6.008446,47.234542
125000.0,150.0,6.0,862.0,6.075618,47.036722
248000.0,135.0,5.0,600.0,6.491104,47.400433
377900.0,111.0,5.0,563.0,6.013502,47.241233
61000.0,200.0,4.0,16480.0,6.719102,47.392939
233000.0,100.0,5.0,500.0,6.62589,47.079183
266000.0,96.0,4.0,748.0,5.982971,47.228272
207300.0,39.0,2.0,529.0,6.016725,47.324019
187200.0,48.0,2.0,760.0,6.750913,47.192644
241250.0,30.0,1.0,495.0,6.471616,47.139864
310000.0,145.0,4.0,451.0,6.341978,46.827037
239001.0,100.0,3.0,650.0,6.736749,47.243899
