surface,pieces,age,quartier,etage,garage,jardin,balcon,vue_mer,exposition,prix
45,2,5,1,0,0,0,1,0,2,125000
85,3,15,2,1,1,0,0,0,1,195000
120,4,3,3,2,1,1,1,1,3,420000
65,2,25,1,0,0,1,0,0,1,152000
95,3,8,2,1,1,0,1,0,2,285000
150,5,1,4,3,1,1,1,1,3,580000
75,3,12,2,1,0,0,0,0,1,175000
110,4,6,3,2,1,0,1,0,2,325000
55,2,20,1,1,0,0,0,0,1,142000
90,3,10,2,0,1,1,1,0,2,245000
140,4,4,4,2,1,1,1,1,3,485000
70,2,18,1,0,0,1,0,0,1,165000
105,4,7,3,1,1,0,1,0,2,295000
60,2,22,1,1,0,0,0,0,1,148000
125,5,2,4,3,1,1,1,1,3,465000
80,3,14,2,1,1,0,0,0,1,205000
100,3,9,3,2,0,1,1,0,2,275000
160,6,1,4,4,1,1,1,1,3,625000
50,1,30,1,0,0,0,0,0,1,98000
115,4,5,3,2,1,1,1,0,2,385000
85,3,16,2,1,1,0,0,0,1,215000
95,3,11,2,0,1,1,1,0,2,265000
130,4,8,3,3,1,0,1,0,2,395000
75,2,19,1,1,0,1,0,0,1,175000
110,4,6,3,1,1,1,1,0,2,335000
65,2,23,1,0,0,0,0,0,1,155000
120,5,3,4,2,1,1,1,1,3,445000
90,3,13,2,1,1,0,0,0,1,225000
140,5,4,4,3,1,1,1,1,3,525000
70,2,21,1,1,0,1,0,0,1,168000
105,4,9,3,2,0,1,1,0,2,285000
55,2,25,1,0,0,0,0,0,1,135000
135,5,2,4,3,1,1,1,1,3,485000
85,3,15,2,1,1,0,0,0,1,208000
115,4,7,3,2,1,1,1,0,2,345000
75,3,17,2,0,1,0,0,0,1,185000
125,4,5,3,3,1,0,1,0,2,385000
95,3,12,2,1,1,1,1,0,2,275000
150,6,1,4,4,1,1,1,1,3,595000
80,2,20,1,1,0,1,0,0,1,178000
200,7,1,4,5,1,1,1,1,3,750000
35,1,35,1,0,0,0,0,0,1,75000
180,6,2,4,4,1,1,1,1,3,685000
25,1,40,1,0,0,0,0,0,1,65000
220,8,1,4,6,1,1,1,1,3,895000
40,1,32,1,0,0,0,0,0,1,82000
165,5,3,4,3,1,1,1,1,3,625000
300,10,1,4,7,1,1,1,1,3,1250000
45,2,28,1,0,0,0,0,0,1,115000
185,6,2,4,4,1,1,1,1,3,715000
