valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude
55500,16,1,0,6.0233420,47.2469770
278000,102,3,7751,6.4002320,46.9250360
112233,0,0,585,6.3904540,46.7675440
48800,0,0,44470,6.3359220,47.0040100
155000,85,4,1200,6.0245000,47.2380000
220000,120,5,800,6.4100000,46.9200000
95000,65,3,500,6.3500000,47.0000000
320000,150,6,1500,6.0200000,47.2500000
180000,90,4,1000,6.3800000,46.9500000
75000,45,2,300,6.4200000,47.1000000
240000,110,4,900,6.0300000,47.2200000
165000,80,3,600,6.3600000,47.0200000
290000,135,5,1200,6.4000000,46.9300000
130000,70,3,700,6.3400000,47.0100000
200000,95,4,850,6.0250000,47.2400000
